		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	MCO	MCO con controles	TWFE	TWFE con controles	ES	ES con controles
							
dummy_oxxo	dummy_oxxo	0.0179	-0.0111	-0.0206	-0.00223	0.000199	0.00784
		(0.0142)	(0.0133)	(0.0142)	(0.0137)	(0.0193)	(0.0195)
Constant	Constant	0.261***	0.00577	0.264***	0.0200		
		(0.00401)	(0.00958)	(0.00114)	(0.0155)		
							
Observations		3,584	3,584	3,584	3,584	684	684
R-squared		0.000	0.226	0.375	0.460		
Tiendas de cadena		NO	SI	NO	SI	NO	SI
Controles variables		NO	SI	NO	SI	NO	SI
Controles fijos		NO	SI	NO	NO	NO	NO
Control spillover		NO	SI	NO	SI	NO	SI
Controles por diferencias			SI	SI	SI	SI	SI
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
